t: 0, {'cum_reward_mean': 4.1107589326819625, 'cum_reward_std': 18.03503872407311, 'loss': 1.8459829}
t: 5, {'cum_reward_mean': -2.7888157894736993, 'cum_reward_std': 1.0878911640890605, 'loss': 8.259282}
t: 10, {'cum_reward_mean': 0.9869443268161309, 'cum_reward_std': 3.2634457889323576, 'loss': 4.893424}
t: 15, {'cum_reward_mean': -0.22519217104836997, 'cum_reward_std': 2.783823688066389, 'loss': 8.687027}
t: 20, {'cum_reward_mean': 1.46552424394176, 'cum_reward_std': 2.8777702854516996, 'loss': 13.7669525}
t: 25, {'cum_reward_mean': 0.6757152878466668, 'cum_reward_std': 1.2398182843167713, 'loss': 21.891567}
t: 30, {'cum_reward_mean': 2.353781994363922, 'cum_reward_std': 4.539787615980511, 'loss': 27.233776}
t: 35, {'cum_reward_mean': 0.6542152271388421, 'cum_reward_std': 1.9498343010265005, 'loss': 47.47705}
t: 40, {'cum_reward_mean': -1.1009544331625087, 'cum_reward_std': 1.637433254993938, 'loss': 34.00843}
t: 45, {'cum_reward_mean': 6.3660529779126795, 'cum_reward_std': 5.07295449485695, 'loss': 34.166637}
t: 50, {'cum_reward_mean': 4.85279070160408, 'cum_reward_std': 3.362218437696074, 'loss': 58.472485}
t: 55, {'cum_reward_mean': 11.745902493862847, 'cum_reward_std': 2.9175592891841475, 'loss': 25.3357}
t: 60, {'cum_reward_mean': 2.1094429121039324, 'cum_reward_std': 4.0784484306335615, 'loss': 81.33622}
t: 65, {'cum_reward_mean': 4.776393252806333, 'cum_reward_std': 2.6734347959893903, 'loss': 42.092884}
t: 70, {'cum_reward_mean': 4.721643129660652, 'cum_reward_std': 2.787916641063453, 'loss': 107.52205}
t: 75, {'cum_reward_mean': 8.646328599626692, 'cum_reward_std': 4.816100863307338, 'loss': 61.10653}
t: 80, {'cum_reward_mean': -0.1694232776574882, 'cum_reward_std': 2.1015453265865562, 'loss': 81.38909}
t: 85, {'cum_reward_mean': 0.18626776102466192, 'cum_reward_std': 2.907357825524629, 'loss': 68.69849}
t: 90, {'cum_reward_mean': 5.611030063823449, 'cum_reward_std': 4.658760058107714, 'loss': 41.71679}
t: 95, {'cum_reward_mean': 6.135758426043527, 'cum_reward_std': 5.965926084303168, 'loss': 96.059296}
t: 100, {'cum_reward_mean': 6.5745506814244035, 'cum_reward_std': 3.9732179231952394, 'loss': 37.907448}
t: 105, {'cum_reward_mean': 3.3294915951995034, 'cum_reward_std': 5.169024514813052, 'loss': 67.171265}
t: 110, {'cum_reward_mean': 2.427311604114327, 'cum_reward_std': 3.4170761005594876, 'loss': 47.58769}
t: 115, {'cum_reward_mean': 7.230755784170487, 'cum_reward_std': 3.842723626553399, 'loss': 69.92946}
t: 120, {'cum_reward_mean': 7.3651531359957385, 'cum_reward_std': 3.5312510080264405, 'loss': 29.077103}
t: 125, {'cum_reward_mean': 9.616292490352699, 'cum_reward_std': 18.103632367064993, 'loss': 31.07558}
t: 130, {'cum_reward_mean': 7.816322485265933, 'cum_reward_std': 3.1095249486102032, 'loss': 55.801697}
t: 135, {'cum_reward_mean': 4.888288953430303, 'cum_reward_std': 5.46639994748473, 'loss': 64.71133}
t: 140, {'cum_reward_mean': 6.655421895307332, 'cum_reward_std': 4.123820867618136, 'loss': 55.340614}
t: 145, {'cum_reward_mean': -0.33598238860510343, 'cum_reward_std': 1.8954225022376905, 'loss': 40.239693}
t: 150, {'cum_reward_mean': 4.998524993991904, 'cum_reward_std': 4.119965814890324, 'loss': 57.174854}
t: 155, {'cum_reward_mean': 1.8145175469321062, 'cum_reward_std': 3.518324626030865, 'loss': 39.061096}
t: 160, {'cum_reward_mean': 1.6458898187242443, 'cum_reward_std': 3.8902657257849818, 'loss': 57.723854}
t: 165, {'cum_reward_mean': 5.341480855257154, 'cum_reward_std': 1.5594553651818637, 'loss': 42.38845}
